task_id,dimension,signal_grounding,tone_alignment,cta_quality,bench_fit_accuracy,personalization_depth,final_score
tb_train_0046,signal_grounding,3,0,2,3,3,0.6833
tb_train_0001,signal_grounding,3,3,0,2,2,0.7167
tb_train_0066,signal_grounding,2,2,0,2,2,0.5333
tb_train_0081,signal_grounding,2,3,1,3,2,0.7333
tb_train_0076,signal_grounding,3,2,3,1,0,0.7167
tb_train_0071,signal_grounding,2,2,2,2,0,0.6
tb_train_0092,tone_compliance,0,2,1,3,0,0.3833
tb_train_0082,tone_compliance,3,3,1,0,3,0.7167
tb_train_0097,tone_compliance,3,2,3,0,3,0.7667
tb_train_0087,tone_compliance,2,3,3,3,1,0.8333
tb_train_0002,tone_compliance,3,2,3,3,3,0.9167
tb_train_0017,tone_compliance,0,1,3,2,3,0.4833
tb_train_0023,cta_quality,3,2,2,3,0,0.75
tb_train_0053,cta_quality,3,1,3,2,1,0.7167
tb_train_0078,cta_quality,0,1,3,2,2,0.45
tb_train_0093,cta_quality,2,3,3,3,1,0.8333
tb_train_0088,cta_quality,1,3,3,2,0,0.65
tb_train_0008,cta_quality,2,3,1,2,2,0.6833
tb_train_0074,personalization,2,0,2,1,1,0.4167
tb_train_0049,personalization,2,2,2,2,2,0.6667
tb_train_0084,personalization,0,1,2,3,3,0.4667
tb_train_0044,personalization,3,3,3,2,2,0.9167
tb_train_0094,personalization,3,2,2,3,2,0.8167
tb_train_0089,personalization,3,2,1,3,1,0.7167
tb_train_0085,bench_fit_alignment,1,3,2,3,2,0.7
tb_train_0020,bench_fit_alignment,2,2,2,0,3,0.6
tb_train_0050,bench_fit_alignment,1,2,2,2,3,0.6
tb_train_0095,bench_fit_alignment,3,3,2,2,0,0.7833
tb_train_0025,bench_fit_alignment,2,2,0,2,1,0.5
tb_train_0070,bench_fit_alignment,0,2,3,2,1,0.5
